12/04/2025,11:03:24,b'Received packet: 127,38.370267,21.777288,12/4/2025,8:3:24,1.13,249.69,11.53,9,1011.87,18.58\r\n'
12/04/2025,11:03:25,b'Received packet: 128,38.370267,21.777288,12/4/2025,8:3:24,1.13,249.69,11.70,9,1011.85,18.60\r\n'
12/04/2025,11:03:25,b'Received packet: 129,38.370266,21.777293,12/4/2025,8:3:25,0.67,249.69,11.70,9,1011.85,18.62\r\n'
12/04/2025,11:03:26,b'Received packet: 130,38.370268,21.777296,12/4/2025,8:3:26,1.24,249.69,11.99,9,1011.81,18.62\r\n'
12/04/2025,11:03:27,b'Received packet: 131,38.370268,21.777296,12/4/2025,8:3:26,1.24,249.69,11.76,8,1011.84,18.63\r\n'
12/04/2025,11:03:27,b'Received packet: 132,38.370265,21.777301,12/4/2025,8:3:27,1.50,291.85,12.17,7,1011.79,18.62\r\n'
12/04/2025,11:03:28,b'Received packet: 133,38.370265,21.777301,12/4/2025,8:3:27,1.50,291.85,12.49,7,1011.75,18.62\r\n'
12/04/2025,11:03:28,b'Received packet: 134,38.370269,21.777304,12/4/2025,8:3:28,1.67,332.64,11.77,7,1011.84,18.62\r\n'
12/04/2025,11:03:29,b'Received packet: 135,38.370271,21.777306,12/4/2025,8:3:29,1.76,347.46,11.62,7,1011.85,18.62\r\n'
12/04/2025,11:03:30,b'Received packet: 136,38.370271,21.777306,12/4/2025,8:3:29,1.76,347.46,11.64,7,1011.85,18.63\r\n'
12/04/2025,11:03:30,b'Received packet: 137,38.370278,21.777307,12/4/2025,8:3:30,2.02,0.07,11.38,8,1011.88,18.64\r\n'
12/04/2025,11:03:31,b'Received packet: 138,38.370278,21.777307,12/4/2025,8:3:30,2.02,0.07,11.67,8,1011.85,18.64\r\n'
12/04/2025,11:03:31,b'Received packet: 139,38.370282,21.777309,12/4/2025,8:3:31,2.00,4.27,11.87,8,1011.82,18.64\r\n'
12/04/2025,11:03:32,b'Received packet: 140,38.370282,21.777309,12/4/2025,8:3:31,2.00,4.27,11.29,8,1011.89,18.63\r\n'
12/04/2025,11:03:33,b'Received packet: 141,38.370283,21.777309,12/4/2025,8:3:32,1.85,5.31,11.28,8,1011.90,18.64\r\n'
12/04/2025,11:03:33,b'Received packet: 142,38.370281,21.777310,12/4/2025,8:3:33,1.37,5.31,10.99,8,1011.93,18.64\r\n'
12/04/2025,11:03:34,b'Received packet: 143,38.370281,21.777310,12/4/2025,8:3:33,1.37,5.31,10.95,8,1011.94,18.65\r\n'
12/04/2025,11:03:34,b'Received packet: 144,38.370280,21.777310,12/4/2025,8:3:34,1.15,5.31,11.01,8,1011.93,18.66\r\n'
12/04/2025,11:03:35,b'Received packet: 145,38.370280,21.777310,12/4/2025,8:3:34,1.15,5.31,10.66,8,1011.97,18.66\r\n'
12/04/2025,11:03:35,b'Received packet: 146,38.370281,21.777310,12/4/2025,8:3:35,1.19,5.31,10.72,8,1011.96,18.66\r\n'
12/04/2025,11:03:36,b'Received packet: 147,38.370280,21.777310,12/4/2025,8:3:36,1.00,5.31,10.75,8,1011.96,18.66\r\n'
12/04/2025,11:03:37,b'Received packet: 148,38.370280,21.777310,12/4/2025,8:3:36,1.00,5.31,10.86,9,1011.95,18.65\r\n'
12/04/2025,11:03:37,b'Received packet: 149,38.370279,21.777310,12/4/2025,8:3:37,0.83,5.31,10.85,9,1011.95,18.65\r\n'
12/04/2025,11:03:38,b'Received packet: 150,38.370279,21.777310,12/4/2025,8:3:37,0.83,5.31,10.65,9,1011.97,18.66\r\n'
12/04/2025,11:03:38,b'Received packet: 151,38.370288,21.777310,12/4/2025,8:3:38,1.54,6.18,11.19,8,1011.91,18.65\r\n'
12/04/2025,11:03:39,b'Received packet: 152,38.370291,21.777311,12/4/2025,8:3:39,1.43,6.18,10.87,8,1011.94,18.66\r\n'
12/04/2025,11:03:40,b'Received packet: 153,38.370291,21.777311,12/4/2025,8:3:39,1.43,6.18,8.98,8,1012.17,18.66\r\n'
12/04/2025,11:03:40,b'Received packet: 154,38.370294,21.777311,12/4/2025,8:3:40,1.52,6.18,11.09,9,1011.92,18.66\r\n'
12/04/2025,11:03:41,b'Received packet: 155,38.370294,21.777311,12/4/2025,8:3:40,1.52,6.18,11.13,9,1011.91,18.66\r\n'
12/04/2025,11:03:41,b'Received packet: 156,38.370294,21.777311,12/4/2025,8:3:41,1.31,6.18,11.42,9,1011.88,18.65\r\n'
12/04/2025,11:03:42,b'Received packet: 157,38.370294,21.777311,12/4/2025,8:3:41,1.31,6.18,11.63,9,1011.85,18.65\r\n'
